district_id,disease,predicted_date,predicted_cases,actual_cases,probability,temperature,humidity,rainfall_mm,season_type
1,Dengue,2026-06-01,180,165,0.55,30.2,78.5,85.0,Monsoon
1,Dengue,2026-06-08,210,198,0.62,31.0,80.2,120.4,Monsoon
1,Dengue,2026-06-15,290,270,0.68,31.8,82.1,145.0,Monsoon
1,Dengue,2026-06-22,340,325,0.72,32.1,84.0,90.2,Monsoon
1,Dengue,2026-06-29,410,390,0.76,31.5,85.6,160.8,Monsoon
1,Dengue,2026-07-06,520,495,0.81,32.4,86.2,110.5,Monsoon
1,Dengue,2026-07-13,680,640,0.86,32.0,88.0,195.2,Monsoon
1,Dengue,2026-07-20,890,850,0.91,32.8,89.5,210.0,Monsoon
1,Dengue,2026-07-27,1150,1110,0.95,33.1,91.2,175.4,Monsoon
1,Dengue,2026-08-03,1320,,0.97,32.6,92.0,230.1,Monsoon
1,Dengue,2026-08-10,1450,,0.98,31.9,93.4,250.6,Monsoon
1,Dengue,2026-08-17,1380,,0.94,33.5,88.2,120.0,Monsoon
1,Dengue,2026-08-24,1210,,0.89,34.2,85.0,75.4,Monsoon
1,Dengue,2026-08-31,980,,0.83,34.8,81.2,45.0,Monsoon
1,Dengue,2026-09-07,750,,0.76,35.2,78.0,20.2,Monsoon
1,Dengue,2026-09-14,510,,0.68,35.9,75.1,15.0,Monsoon
1,Dengue,2026-09-21,380,,0.59,36.4,72.0,5.0,Monsoon
1,Dengue,2026-09-28,240,,0.48,36.8,68.4,0.0,Monsoon
14,Dengue,2026-06-01,95,85,0.48,29.8,80.1,95.2,Monsoon
14,Dengue,2026-06-08,120,110,0.53,30.5,82.4,115.0,Monsoon
14,Dengue,2026-06-15,150,142,0.59,31.2,83.9,130.4,Monsoon
14,Dengue,2026-06-22,190,175,0.64,31.6,85.2,150.0,Monsoon
14,Dengue,2026-06-29,240,225,0.70,32.0,86.8,175.2,Monsoon
14,Dengue,2026-07-06,310,290,0.75,32.5,87.5,140.8,Monsoon
14,Dengue,2026-07-13,420,395,0.82,31.9,89.1,210.5,Monsoon
14,Dengue,2026-07-20,560,530,0.87,32.3,90.2,225.0,Monsoon
14,Dengue,2026-07-27,690,660,0.92,32.7,91.8,190.4,Monsoon
14,Dengue,2026-08-03,780,,0.94,32.1,92.5,240.2,Monsoon
14,Dengue,2026-08-10,840,,0.95,31.6,93.9,260.0,Monsoon
14,Dengue,2026-08-17,790,,0.91,33.0,89.2,145.5,Monsoon
14,Dengue,2026-08-24,680,,0.85,33.8,86.0,85.0,Monsoon
14,Dengue,2026-08-31,530,,0.78,34.4,82.4,50.2,Monsoon
14,Dengue,2026-09-07,390,,0.69,35.0,79.1,25.0,Monsoon
14,Dengue,2026-09-14,270,,0.58,35.5,76.0,10.4,Monsoon
14,Dengue,2026-09-21,180,,0.47,36.1,72.5,2.0,Monsoon
14,Dengue,2026-09-28,110,,0.36,36.5,69.0,0.0,Monsoon
44,Diarrhea,2026-06-01,210,195,0.65,28.5,88.2,150.4,Monsoon
